Trends in Number of COVID-19 Vaccinations in the US
Date generated: Tue Nov 30 2021 20:42:10 GMT-0600 (北美中部标准时间)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,People Receiving a Booster Dose,Total People Receiving a Booster Dose,7-Day Average Daily Count Booster
Report,2020-12-13,US,,,,,,,0,0,,,,N/A,N/A,N/A
Admin,2020-12-14,US,4338,4201,26534,23061,11531,13267,,,96,4046,2023,0,0,0
Report,2020-12-14,US,,,,,,,509,255,,,,N/A,N/A,N/A
Admin,2020-12-15,US,48765,46565,75299,69626,23209,25099,,,210,4256,1418,0,0,0
Report,2020-12-15,US,,,,,,,12129,4213,,,,N/A,N/A,N/A
Admin,2020-12-16,US,158889,153455,234188,223081,55770,58547,,,391,4647,1161,0,0,0
Report,2020-12-16,US,,,,,,,38996,12909,,,,N/A,N/A,N/A
Admin,2020-12-17,US,270632,263591,504820,486672,97334,100964,,,573,5220,1044,0,0,0
Report,2020-12-17,US,,,,,,,75708,25468,,,,N/A,N/A,N/A
Admin,2020-12-18,US,413185,404628,918005,891300,148550,153000,,,975,6195,1032,0,0,0
Report,2020-12-18,US,,,,,,,126800,42357,,,,N/A,N/A,N/A
Admin,2020-12-19,US,180744,176982,1098749,1068282,152612,156964,,,944,7139,1019,0,0,0
Report,2020-12-19,US,,,,,,,187508,63093,,,,N/A,N/A,N/A
Admin,2020-12-20,US,104264,102408,1203013,1170690,164547,168688,,,656,7795,549,0,0,0
Report,2020-12-20,US,,,,,,,209853,93072,,,,N/A,N/A,N/A
Admin,2020-12-21,US,380539,374219,1583552,1544909,217407,222431,,,1101,8896,692,0,0,0
Report,2020-12-21,US,,,,,,,149957,114422,,,,N/A,N/A,N/A
Admin,2020-12-22,US,448251,439905,2031803,1984814,273598,279500,,,2320,11216,994,0,0,0
Report,2020-12-22,US,,,,,,,189722,139792,,,,N/A,N/A,N/A
Admin,2020-12-23,US,571835,560552,2603638,2545366,331755,338492,,,1994,13210,1223,0,0,0
Report,2020-12-23,US,,,,,,,368173,186817,,,,N/A,N/A,N/A
Admin,2020-12-24,US,195541,190713,2799179,2736079,321344,327765,,,905,14115,1270,0,0,0
Report,2020-12-24,US,,,,,,,338436,224350,,,,N/A,N/A,N/A
Admin,2020-12-25,US,12572,12437,2811751,2748516,265317,270535,,,88,14203,1144,0,0,0
Report,2020-12-25,US,,,,,,,336145,254256,,,,N/A,N/A,N/A
Admin,2020-12-26,US,140812,137938,2952563,2886454,259739,264830,,,613,14816,1096,0,0,0
Report,2020-12-26,US,,,,,,,156478,249823,,,,N/A,N/A,N/A
Admin,2020-12-27,US,96330,93504,3048893,2979958,258467,263697,,,559,15375,1082,0,0,0
Report,2020-12-27,US,,,,,,,61992,228700,,,,N/A,N/A,N/A
Admin,2020-12-28,US,586373,574623,3635266,3554581,287096,293102,,,2766,18141,1320,0,0,0
Report,2020-12-28,US,,,,,,,156220,229595,,,,N/A,N/A,N/A
Admin,2020-12-29,US,716621,699779,4351887,4254360,324221,331440,,,4033,22174,1565,0,0,0
Report,2020-12-29,US,,,,,,,314677,247446,,,,N/A,N/A,N/A
Admin,2020-12-30,US,837066,820586,5188953,5074946,361369,369330,,,5836,28010,2114,0,0,0
Report,2020-12-30,US,,,,,,,441549,257928,,,,N/A,N/A,N/A
Admin,2020-12-31,US,420280,411822,5609233,5486768,392956,401436,,,2626,30636,2360,0,0,0
Report,2020-12-31,US,,,,,,,573278,291477,,,,N/A,N/A,N/A
Admin,2021-01-01,US,85577,78732,5694810,5565500,402426,411865,,,5390,36026,3117,0,0,0
Report,2021-01-01,US,,,,,,,434528,305532,,,,N/A,N/A,N/A
Admin,2021-01-02,US,261135,252556,5955945,5818056,418800,429054,,,2588,38614,3399,0,0,0
Report,2021-01-02,US,,,,,,,290402,324664,,,,N/A,N/A,N/A
Admin,2021-01-03,US,136604,129559,6092549,5947615,423951,434808,,,2279,40893,3645,0,0,0
Report,2021-01-03,US,,,,,,,185279,342276,,,,N/A,N/A,N/A
Admin,2021-01-04,US,650677,593031,6743226,6540646,426581,443994,,,44756,85649,9644,0,0,0
Report,2021-01-04,US,,,,,,,239472,354169,,,,N/A,N/A,N/A
Admin,2021-01-05,US,824151,724843,7567377,7265489,430161,459355,,,87206,172855,21525,0,0,0
Report,2021-01-05,US,,,,,,,337114,357375,,,,N/A,N/A,N/A
Admin,2021-01-06,US,1013971,826867,8581348,8092356,431059,484627,,,170708,343563,45079,0,0,0
Report,2021-01-06,US,,,,,,,600055,380018,,,,N/A,N/A,N/A
Admin,2021-01-07,US,1162310,863167,9743658,8955523,495536,590632,,,277792,621355,84388,0,0,0
Report,2021-01-07,US,,,,,,,730700,402507,,,,N/A,N/A,N/A
Admin,2021-01-08,US,1229154,844502,10972812,9800025,604932,754000,,,359827,981182,135022,0,0,0
Report,2021-01-08,US,,,,,,,870465,464784,,,,N/A,N/A,N/A
Admin,2021-01-09,US,506006,369176,11478818,10169201,621592,788981,,,127667,1108849,152890,0,0,0
Report,2021-01-09,US,,,,,,,790484,536224,,,,N/A,N/A,N/A
Admin,2021-01-10,US,248774,175195,11727592,10344396,628112,805006,,,68516,1177365,162353,0,0,0
Report,2021-01-10,US,,,,,,,727095,613626,,,,N/A,N/A,N/A
Admin,2021-01-11,US,1065987,722358,12793579,11066754,646587,864336,,,321546,1498911,201894,0,0,0
Report,2021-01-11,US,,,,,,,419440,639336,,,,N/A,N/A,N/A
Admin,2021-01-12,US,1252841,913700,14046420,11980454,673566,925577,,,313794,1812705,234264,0,0,0
Report,2021-01-12,US,,,,,,,516858,665014,,,,N/A,N/A,N/A
Admin,2021-01-13,US,1318682,1027593,15365102,13008047,702242,969107,,,270007,2082712,248449,0,0,0
Report,2021-01-13,US,,,,,,,987485,720361,,,,N/A,N/A,N/A
Admin,2021-01-14,US,1307715,1152567,16672817,14160614,743584,989879,,,134253,2216965,227944,0,0,0
Report,2021-01-14,US,,,,,,,1093867,772242,,,,N/A,N/A,N/A
Admin,2021-01-15,US,1260078,1123411,17932895,15284025,783429,994297,,,119234,2336199,193573,0,0,0
Report,2021-01-15,US,,,,,,,956233,784495,,,,N/A,N/A,N/A
Admin,2021-01-16,US,654743,572516,18587638,15856541,812477,1015545,,,71263,2407462,185516,0,0,0
Report,2021-01-16,US,,,,,,,1141043,834574,,,,N/A,N/A,N/A
Admin,2021-01-17,US,306662,256927,18894300,16113468,824153,1023815,,,42252,2449714,181764,0,0,0
Report,2021-01-17,US,,,,,,,856109,853005,,,,N/A,N/A,N/A
Admin,2021-01-18,US,884235,638830,19778535,16752298,812221,997850,,,227816,2677530,168374,0,0,0
Report,2021-01-18,US,,,,,,,548050,871378,,,,N/A,N/A,N/A
Admin,2021-01-19,US,1348733,972042,21127268,17724340,820555,1011549,,,352179,3029709,173857,0,0,0
Report,2021-01-19,US,,,,,,,621154,886277,,,,N/A,N/A,N/A
Admin,2021-01-20,US,1623293,1176407,22750561,18900747,841814,1055065,,,419588,3449297,195226,0,0,0
Report,2021-01-20,US,,,,,,,441318,808253,,,,N/A,N/A,N/A
Admin,2021-01-21,US,1644030,1346326,24394591,20247073,869494,1103110,,,272105,3721402,214919,0,0,0
Report,2021-01-21,US,,,,,,,1021093,797857,,,,N/A,N/A,N/A
Admin,2021-01-22,US,1619533,1390872,26014124,21637945,907703,1154461,,,205981,3927383,227312,0,0,0
Report,2021-01-22,US,,,,,,,1561585,884336,,,,N/A,N/A,N/A
Admin,2021-01-23,US,905280,742821,26919404,22380766,932032,1190252,,,147775,4075158,238242,0,0,0
Report,2021-01-23,US,,,,,,,1430031,925620,,,,N/A,N/A,N/A
Admin,2021-01-24,US,396030,302005,27315434,22682771,938472,1203019,,,86655,4161813,244585,0,0,0
Report,2021-01-24,US,,,,,,,1310665,990557,,,,N/A,N/A,N/A
Admin,2021-01-25,US,1367390,859013,28682824,23541784,969927,1272041,,,482649,4644462,280990,0,0,0
Report,2021-01-25,US,,,,,,,885588,1038776,,,,N/A,N/A,N/A
Admin,2021-01-26,US,1655725,1052309,30338549,24594093,981393,1315897,,,574165,5218627,312702,0,0,0
Report,2021-01-26,US,,,,,,,806751,1065290,,,,N/A,N/A,N/A
Admin,2021-01-27,US,1922743,1247860,32261292,25841953,991601,1358675,,,638758,5857385,344012,0,0,0
Report,2021-01-27,US,,,,,,,1111640,1161050,,,,N/A,N/A,N/A
Admin,2021-01-28,US,1953753,1367416,34215045,27209369,994614,1402922,,,548671,6406056,383522,0,0,0
Report,2021-01-28,US,,,,,,,1541048,1235330,,,,N/A,N/A,N/A
Admin,2021-01-29,US,1907882,1371717,36122927,28581086,991877,1444114,,,485549,6891605,423460,0,0,0
Report,2021-01-29,US,,,,,,,1690979,1253815,,,,N/A,N/A,N/A
Admin,2021-01-30,US,1019431,762186,37142358,29343272,994644,1460422,,,238784,7130389,436461,0,0,0
Report,2021-01-30,US,,,,,,,1693241,1291416,,,,N/A,N/A,N/A
Admin,2021-01-31,US,461855,326455,37604213,29669727,998137,1469825,,,124240,7254629,441830,0,0,0
Report,2021-01-31,US,,,,,,,1545397,1324949,,,,N/A,N/A,N/A
Admin,2021-02-01,US,1367800,763767,38972013,30433494,984530,1469884,,,561252,7815881,453059,0,0,0
Report,2021-02-01,US,,,,,,,1099103,1355451,,,,N/A,N/A,N/A
Admin,2021-02-02,US,1685981,961687,40657994,31395181,971584,1474206,,,686627,8502508,469125,0,0,0
Report,2021-02-02,US,,,,,,,558458,1319981,,,,N/A,N/A,N/A
Admin,2021-02-03,US,2133752,1261189,42791746,32656370,973488,1504350,,,822171,9324679,495327,0,0,0
Report,2021-02-03,US,,,,,,,1097394,1317946,,,,N/A,N/A,N/A
Admin,2021-02-04,US,2333641,1388368,45125387,34044738,976481,1558620,,,897988,10222667,545230,0,0,0
Report,2021-02-04,US,,,,,,,1325456,1287147,,,,N/A,N/A,N/A
Admin,2021-02-05,US,2353702,1360930,47479089,35405668,974940,1622308,,,944017,11166684,610725,0,0,0
Report,2021-02-05,US,,,,,,,1615502,1276364,,,,N/A,N/A,N/A
Admin,2021-02-06,US,1295632,852731,48774721,36258399,987875,1661766,,,416915,11583599,636172,0,0,0
Report,2021-02-06,US,,,,,,,2218752,1351437,,,,N/A,N/A,N/A
Admin,2021-02-07,US,448108,279436,49222829,36537835,981158,1659802,,,155124,11738723,640584,0,0,0
Report,2021-02-07,US,,,,,,,2172973,1441091,,,,N/A,N/A,N/A
Admin,2021-02-08,US,1571531,835934,50794360,37373769,991468,1688906,,,696421,12435144,659894,0,0,0
Report,2021-02-08,US,,,,,,,1206680,1456459,,,,N/A,N/A,N/A
Admin,2021-02-09,US,1965816,1038717,52760176,38412486,1002472,1728883,,,882112,13317256,687821,0,0,0
Report,2021-02-09,US,,,,,,,788573,1489333,,,,N/A,N/A,N/A
Admin,2021-02-10,US,2293602,1225613,55053778,39638099,997390,1751718,,,1024451,14341707,716718,0,0,0
Report,2021-02-10,US,,,,,,,1563780,1555959,,,,N/A,N/A,N/A
Admin,2021-02-11,US,2393677,1271007,57447455,40909106,980624,1760295,,,1077278,15418985,742331,0,0,0
Report,2021-02-11,US,,,,,,,1620300,1598080,,,,N/A,N/A,N/A
Admin,2021-02-12,US,2577698,1378368,60025153,42287474,983115,1792294,,,1145914,16564899,771173,0,0,0
Report,2021-02-12,US,,,,,,,2020288,1655907,,,,N/A,N/A,N/A
Admin,2021-02-13,US,1471433,864395,61496586,43151869,984781,1817409,,,572033,17136932,793333,0,0,0
Report,2021-02-13,US,,,,,,,2231326,1657703,,,,N/A,N/A,N/A
Admin,2021-02-14,US,592083,347151,62088669,43499020,994455,1837977,,,227957,17364889,803738,0,0,0
Report,2021-02-14,US,,,,,,,2242472,1667631,,,,N/A,N/A,N/A
Admin,2021-02-15,US,1176172,614761,63264841,44113781,962859,1781497,,,528093,17892982,779691,0,0,0
Report,2021-02-15,US,,,,,,,1376214,1691850,,,,N/A,N/A,N/A
Admin,2021-02-16,US,1618758,797930,64883599,44911711,928461,1731917,,,779516,18672498,765034,0,0,0
Report,2021-02-16,US,,,,,,,959794,1716311,,,,N/A,N/A,N/A
Admin,2021-02-17,US,1959644,929381,66843243,45841092,886142,1684209,,,985683,19658181,759496,0,0,0
Report,2021-02-17,US,,,,,,,1061463,1644551,,,,N/A,N/A,N/A
Admin,2021-02-18,US,1853978,832836,68697221,46673928,823546,1607109,,,967648,20625829,743834,0,0,0
Report,2021-02-18,US,,,,,,,1455940,1621071,,,,N/A,N/A,N/A
Admin,2021-02-19,US,1963247,830615,70660468,47504543,745296,1519330,,,1082246,21708075,734739,0,0,0
Report,2021-02-19,US,,,,,,,1847276,1596355,,,,N/A,N/A,N/A
Admin,2021-02-20,US,1304478,604649,71964946,48109192,708189,1495480,,,669382,22377457,748646,0,0,0
Report,2021-02-20,US,,,,,,,1704457,1521088,,,,N/A,N/A,N/A
Admin,2021-02-21,US,594647,259455,72559593,48368647,695661,1495846,,,316294,22693751,761266,0,0,0
Report,2021-02-21,US,,,,,,,1801134,1458040,,,,N/A,N/A,N/A
Admin,2021-02-22,US,1458754,628350,74018347,48996997,697602,1536215,,,785828,23479579,798085,0,0,0
Report,2021-02-22,US,,,,,,,1086840,1416701,,,,N/A,N/A,N/A
Admin,2021-02-23,US,1937963,885721,75956310,49882718,710144,1581815,,,1003651,24483230,830104,0,0,0
Report,2021-02-23,US,,,,,,,854609,1401674,,,,N/A,N/A,N/A
Admin,2021-02-24,US,2520291,1260080,78476601,51142798,757387,1661908,,,1207499,25690729,861792,0,0,0
Report,2021-02-24,US,,,,,,,1432864,1454731,,,,N/A,N/A,N/A
Admin,2021-02-25,US,2927522,1549647,81404123,52692445,859788,1815271,,,1311370,27002099,910895,0,0,0
Report,2021-02-25,US,,,,,,,1809170,1505193,,,,N/A,N/A,N/A
Admin,2021-02-26,US,3095956,1683237,84500079,54375682,981591,1977087,,,1347615,28349714,948805,0,0,0
Report,2021-02-26,US,,,,,,,2179947,1552717,,,,N/A,N/A,N/A
Admin,2021-02-27,US,1984377,1148320,86484456,55524002,1059259,2074215,,,798498,29148212,967250,0,0,0
Report,2021-02-27,US,,,,,,,2352116,1645240,,,,N/A,N/A,N/A
Admin,2021-02-28,US,852087,540825,87336543,56064827,1099454,2110992,,,286792,29435004,963036,0,0,0
Report,2021-02-28,US,,,,,,,2429823,1735053,,,,N/A,N/A,N/A
Admin,2021-03-01,US,2015050,1188986,89351593,57253813,1179545,2190463,,,769864,30204868,960755,0,0,0
Report,2021-03-01,US,,,,,,,1663984,1817502,,,,N/A,N/A,N/A
Admin,2021-03-02,US,2452002,1469252,91803595,58723065,1262907,2263897,,,938579,31143447,951459,0,0,0
Report,2021-03-02,US,,,,,,,1731614,1942788,,,,N/A,N/A,N/A
Admin,2021-03-03,US,2893579,1744950,94697174,60468015,1332174,2317224,,,1107663,32251110,937197,0,0,0
Report,2021-03-03,US,,,,,,,1908873,2010790,,,,N/A,N/A,N/A
Admin,2021-03-04,US,3189758,1962548,97886932,62430563,1391160,2354687,,,1219288,33470398,924042,0,0,0
Report,2021-03-04,US,,,,,,,2032374,2042676,,,,N/A,N/A,N/A
Admin,2021-03-05,US,3214650,2007461,101101582,64438024,1437477,2371643,,,1281252,34751650,914562,0,0,0
Report,2021-03-05,US,,,,,,,2435246,2079147,,,,N/A,N/A,N/A
Admin,2021-03-06,US,2046807,1350216,103148389,65788240,1466320,2380561,,,849877,35601527,921902,0,0,0
Report,2021-03-06,US,,,,,,,2904229,2158020,,,,N/A,N/A,N/A
Admin,2021-03-07,US,926233,681163,104074622,66469403,1486368,2391154,,,340521,35942048,929577,0,0,0
Report,2021-03-07,US,,,,,,,2439427,2159392,,,,N/A,N/A,N/A
Admin,2021-03-08,US,2153722,1484429,106228344,67953832,1528574,2410964,,,837485,36779533,939237,0,0,0
Report,2021-03-08,US,,,,,,,1738102,2169981,,,,N/A,N/A,N/A
Admin,2021-03-09,US,2700135,1811059,108928479,69764891,1577404,2446412,,,1068148,37847681,957747,0,0,0
Report,2021-03-09,US,,,,,,,1602746,2151571,,,,N/A,N/A,N/A
Admin,2021-03-10,US,3117812,2068227,112046291,71833118,1623586,2478445,,,1252799,39100480,978481,0,0,0
Report,2021-03-10,US,,,,,,,2028692,2168688,,,,N/A,N/A,N/A
Admin,2021-03-11,US,3431301,2284331,115477592,74117449,1669555,2512951,,,1379171,40479651,1001321,0,0,0
Report,2021-03-11,US,,,,,,,2482603,2233006,,,,N/A,N/A,N/A
Admin,2021-03-12,US,3414563,2122291,118892155,76239740,1685959,2541510,,,1501886,41981537,1032841,0,0,0
Report,2021-03-12,US,,,,,,,2924112,2302844,,,,N/A,N/A,N/A
Admin,2021-03-13,US,2188389,1392446,121080544,77632186,1691992,2561736,,,1006671,42988208,1055240,0,0,0
Report,2021-03-13,US,,,,,,,3234490,2350025,,,,N/A,N/A,N/A
Admin,2021-03-14,US,983152,649778,122063696,78281964,1687509,2569867,,,422528,43410736,1066955,0,0,0
Report,2021-03-14,US,,,,,,,2697779,2386932,,,,N/A,N/A,N/A
Admin,2021-03-15,US,2275807,1499566,124339503,79781530,1689671,2587308,,,857219,44267955,1069774,0,0,0
Report,2021-03-15,US,,,,,,,2021586,2427430,,,,N/A,N/A,N/A
Admin,2021-03-16,US,2874904,1931026,127214407,81712556,1706809,2612275,,,1029906,45297861,1064311,0,0,0
Report,2021-03-16,US,,,,,,,1655996,2435037,,,,N/A,N/A,N/A
Admin,2021-03-17,US,3155185,2130870,130369592,83843426,1715758,2617614,,,1107758,46405619,1043591,0,0,0
Report,2021-03-17,US,,,,,,,2299771,2473762,,,,N/A,N/A,N/A
Admin,2021-03-18,US,3399395,2302833,133768987,86146259,1718401,2613056,,,1186582,47592201,1016078,0,0,0
Report,2021-03-18,US,,,,,,,2692381,2503731,,,,N/A,N/A,N/A
Admin,2021-03-19,US,3324518,2219631,137093505,88365890,1732307,2600192,,,1196781,48788982,972492,0,0,0
Report,2021-03-19,US,,,,,,,2583810,2455116,,,,N/A,N/A,N/A
Admin,2021-03-20,US,2149774,1416554,139243279,89782444,1735751,2594676,,,846665,49635647,949634,0,0,0
Report,2021-03-20,US,,,,,,,3127679,2439857,,,,N/A,N/A,N/A
Admin,2021-03-21,US,1020059,687526,140263338,90469970,1741144,2599948,,,365934,50001581,941549,0,0,0
Report,2021-03-21,US,,,,,,,3039915,2488734,,,,N/A,N/A,N/A
Admin,2021-03-22,US,2356424,1610612,142619762,92080582,1757007,2611465,,,787513,50789094,931591,0,0,0
Report,2021-03-22,US,,,,,,,2028324,2489697,,,,N/A,N/A,N/A
