Data Table for Daily Case Trends - The United States
Date generated: Tue Nov 30 2021 20:43:23 GMT-0600 (北美中部标准时间)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Nov 29 2021,119404,80178,171
United States,Nov 28 2021,48140,85844,92
United States,Nov 27 2021,44871,83537,51
United States,Nov 26 2021,79135,82307,19
United States,Nov 25 2021,63402,87224,76
United States,Nov 24 2021,105089,94365,245
United States,Nov 23 2021,101208,94335,249
United States,Nov 22 2021,159068,93674,50
United States,Nov 21 2021,31987,91488,490
United States,Nov 20 2021,36263,91006,81
United States,Nov 19 2021,113552,92602,100
United States,Nov 18 2021,113394,93967,10684
United States,Nov 17 2021,104877,87989,55
United States,Nov 16 2021,96577,85926,59
United States,Nov 15 2021,143766,83990,9
United States,Nov 14 2021,28615,81769,61
United States,Nov 13 2021,47434,81390,15371
United States,Nov 12 2021,123106,78683,145
United States,Nov 11 2021,71554,73887,590
United States,Nov 10 2021,90430,76241,1792
United States,Nov  9 2021,83030,74740,177
United States,Nov  8 2021,128216,73318,49
United States,Nov  7 2021,25961,72181,66
United States,Nov  6 2021,28485,71408,528
United States,Nov  5 2021,89535,71440,186
United States,Nov  4 2021,88035,71086,219
United States,Nov  3 2021,79924,70217,108
United States,Nov  2 2021,73074,70784,685
United States,Nov  1 2021,120256,74976,7959
United States,Oct 31 2021,20547,71311,64
United States,Oct 30 2021,28713,71747,569
United States,Oct 29 2021,87055,71876,137
United States,Oct 28 2021,81952,70953,21885
United States,Oct 27 2021,83896,71714,457
United States,Oct 26 2021,102413,70641,262
United States,Oct 25 2021,94606,67585,47
United States,Oct 24 2021,23596,64154,94
United States,Oct 23 2021,29618,67822,451
United States,Oct 22 2021,80592,72470,316
United States,Oct 21 2021,87282,73950,377
United States,Oct 20 2021,76386,75282,532
United States,Oct 19 2021,81017,78224,520
United States,Oct 18 2021,70589,79663,23
United States,Oct 17 2021,49272,80320,76
United States,Oct 16 2021,62157,81778,825
United States,Oct 15 2021,90947,82901,806
United States,Oct 14 2021,96612,85301,498
United States,Oct 13 2021,96980,87498,732
United States,Oct 12 2021,91085,89038,649
United States,Oct 11 2021,75191,91004,84
United States,Oct 10 2021,59478,92769,161
United States,Oct  9 2021,70014,94042,648
United States,Oct  8 2021,107752,95655,544
United States,Oct  7 2021,111990,97418,793
United States,Oct  6 2021,107757,98919,10536
United States,Oct  5 2021,104849,100148,238
United States,Oct  4 2021,87546,101887,29
United States,Oct  3 2021,68386,104154,207
United States,Oct  2 2021,81310,105394,493
United States,Oct  1 2021,120088,107437,1428
United States,Sep 30 2021,122503,109290,1427
United States,Sep 29 2021,116359,111150,1354
United States,Sep 28 2021,117022,113434,1069
United States,Sep 27 2021,103411,116000,613
United States,Sep 26 2021,77065,114613,239
United States,Sep 25 2021,95611,117470,646
United States,Sep 24 2021,133062,121388,781
United States,Sep 23 2021,135523,124886,1466
United States,Sep 22 2021,132350,129424,445
United States,Sep 21 2021,134984,133813,624
United States,Sep 20 2021,93702,137692,33
United States,Sep 19 2021,97059,140559,87
United States,Sep 18 2021,123042,143306,575
United States,Sep 17 2021,157546,147610,531
United States,Sep 16 2021,167289,149304,540
United States,Sep 15 2021,163073,152079,916
United States,Sep 14 2021,162136,153065,660
United States,Sep 13 2021,113774,146821,164
United States,Sep 12 2021,116288,146326,79
United States,Sep 11 2021,153165,147522,527
United States,Sep 10 2021,169403,145957,349
United States,Sep  9 2021,186720,147883,404
United States,Sep  8 2021,169971,147243,1347
United States,Sep  7 2021,118428,151372,90
United States,Sep  6 2021,110309,159737,404
United States,Sep  5 2021,124662,163217,277
United States,Sep  4 2021,142206,162305,417
United States,Sep  3 2021,182890,163597,388
United States,Sep  2 2021,182240,163593,401
United States,Sep  1 2021,198869,164294,323
United States,Aug 31 2021,176986,161303,504
United States,Aug 30 2021,134667,159418,83
United States,Aug 29 2021,118279,156963,179
United States,Aug 28 2021,151248,158218,361
United States,Aug 27 2021,182868,157027,201
United States,Aug 26 2021,187142,154759,253
United States,Aug 25 2021,177932,153031,257
United States,Aug 24 2021,163794,151655,367
United States,Aug 23 2021,117481,149804,69
United States,Aug 22 2021,127061,148783,70
United States,Aug 21 2021,142916,146441,376
United States,Aug 20 2021,166992,145906,1934
United States,Aug 19 2021,175043,142997,204
United States,Aug 18 2021,168299,139652,1040
United States,Aug 17 2021,150836,136272,250
United States,Aug 16 2021,110337,134237,130
United States,Aug 15 2021,110667,131901,74
United States,Aug 14 2021,139173,129970,167
United States,Aug 13 2021,146628,127229,97
United States,Aug 12 2021,151627,124278,266
United States,Aug 11 2021,144637,121067,270
United States,Aug 10 2021,136596,118132,183
United States,Aug  9 2021,93983,114418,82
United States,Aug  8 2021,97149,115798,42
United States,Aug  7 2021,119985,110923,99
United States,Aug  6 2021,125971,105426,7773
United States,Aug  5 2021,129150,102432,234
United States,Aug  4 2021,124093,98170,333
United States,Aug  3 2021,110596,93232,322
United States,Aug  2 2021,103643,89731,25
United States,Aug  1 2021,63028,85148,44
United States,Jul 31 2021,81504,82326,164
United States,Jul 30 2021,105013,78299,334
United States,Jul 29 2021,99317,73081,229
United States,Jul 28 2021,89528,69299,120
United States,Jul 27 2021,86084,65311,142
United States,Jul 26 2021,71562,60299,36
United States,Jul 25 2021,43277,56574,28
United States,Jul 24 2021,53318,54447,122
United States,Jul 23 2021,68484,51332,345
United States,Jul 22 2021,72845,47600,283
United States,Jul 21 2021,61607,42987,184
United States,Jul 20 2021,51002,39682,136
United States,Jul 19 2021,45487,37380,266
United States,Jul 18 2021,28392,35074,45
United States,Jul 17 2021,31508,33415,71
United States,Jul 16 2021,42360,31846,42
United States,Jul 15 2021,40559,29741,112
United States,Jul 14 2021,38472,27965,106
United States,Jul 13 2021,34886,25728,0
United States,Jul 12 2021,29346,23630,0
United States,Jul 11 2021,16774,20754,0
United States,Jul 10 2021,20530,19840,0
United States,Jul  9 2021,27622,18770,0
United States,Jul  8 2021,28131,17229,155785
United States,Jul  7 2021,22809,15883,0
United States,Jul  6 2021,20199,14283,0
United States,Jul  5 2021,9217,13646,0
United States,Jul  4 2021,10374,13853,4
United States,Jul  3 2021,13041,13872,0
United States,Jul  2 2021,16838,13892,0
United States,Jul  1 2021,18704,13643,0
United States,Jun 30 2021,11610,13190,0
United States,Jun 29 2021,15740,13512,0
United States,Jun 28 2021,10669,13189,0
United States,Jun 27 2021,10503,12901,0
United States,Jun 26 2021,13182,12677,0
United States,Jun 25 2021,15093,12565,0
United States,Jun 24 2021,15536,12127,0
United States,Jun 23 2021,13863,11804,0
United States,Jun 22 2021,13481,11712,0
United States,Jun 21 2021,8654,11620,0
United States,Jun 20 2021,8932,11567,0
United States,Jun 19 2021,12399,11518,0
United States,Jun 18 2021,12027,11528,0
United States,Jun 17 2021,13277,11812,0
United States,Jun 16 2021,13214,12210,0
United States,Jun 15 2021,12843,13051,0
United States,Jun 14 2021,8282,13299,0
United States,Jun 13 2021,8590,13539,0
United States,Jun 12 2021,12469,13880,0
United States,Jun 11 2021,14013,14212,0
United States,Jun 10 2021,16062,14867,1
United States,Jun  9 2021,19099,15238,464
United States,Jun  8 2021,14581,14830,0
United States,Jun  7 2021,9961,14021,0
United States,Jun  6 2021,10980,13882,0
United States,Jun  5 2021,14789,14028,0
United States,Jun  4 2021,18601,14223,0
United States,Jun  3 2021,18658,15050,0
United States,Jun  2 2021,16243,15607,0
United States,Jun  1 2021,8919,16676,0
United States,May 31 2021,8985,18801,1
United States,May 30 2021,12002,19819,0
United States,May 29 2021,16157,20350,0
United States,May 28 2021,24389,21216,0
United States,May 27 2021,22557,21769,0
United States,May 26 2021,23727,22540,0
United States,May 25 2021,23795,23134,0
United States,May 24 2021,16108,23742,0
United States,May 23 2021,15720,24227,0
United States,May 22 2021,22217,24976,0
United States,May 21 2021,28259,26052,0
United States,May 20 2021,27958,27077,0
United States,May 19 2021,27886,28945,0
United States,May 18 2021,28051,30091,0
United States,May 17 2021,19500,30883,0
United States,May 16 2021,20962,31632,0
United States,May 15 2021,29750,32523,42
United States,May 14 2021,35438,33538,0
United States,May 13 2021,41032,34847,0
United States,May 12 2021,35907,35187,0
United States,May 11 2021,33597,36525,0
United States,May 10 2021,24740,37888,0
United States,May  9 2021,27199,39101,0
United States,May  8 2021,36854,40458,0
United States,May  7 2021,44605,42048,0
United States,May  6 2021,43407,43577,0
United States,May  5 2021,45278,45479,0
United States,May  4 2021,43138,46910,0
United States,May  3 2021,33232,48024,0
United States,May  2 2021,36693,48972,0
United States,May  1 2021,47987,49547,0
United States,Apr 30 2021,55307,50110,0
United States,Apr 29 2021,56723,51440,0
United States,Apr 28 2021,55292,52150,0
United States,Apr 27 2021,50935,53420,0
United States,Apr 26 2021,39872,54558,-9005
United States,Apr 25 2021,40719,53999,0
United States,Apr 24 2021,51927,55213,0
United States,Apr 23 2021,64618,58940,0
United States,Apr 22 2021,61692,59835,0
United States,Apr 21 2021,64180,61736,0
United States,Apr 20 2021,58898,62904,0
United States,Apr 19 2021,35963,64800,0
United States,Apr 18 2021,49216,68611,0
United States,Apr 17 2021,78013,69222,0
United States,Apr 16 2021,70889,67800,0
United States,Apr 15 2021,74993,68940,0
United States,Apr 14 2021,72358,69041,0
United States,Apr 13 2021,72169,69834,0
United States,Apr 12 2021,62639,68563,0
United States,Apr 11 2021,53496,67745,0
United States,Apr 10 2021,68058,66431,0
United States,Apr  9 2021,78869,66064,72
United States,Apr  8 2021,75698,64731,0
United States,Apr  7 2021,77914,64552,0
United States,Apr  6 2021,63269,63631,0
